document,true_category
Final day of heatwave for many before weekend cooldown Heatwave conditions continue on Friday in south-east England but it is turning fresher for all into the weekend. Big Issue says vendors struggling as sales hit by heatwaves,Economics
Romania shuts only nuclear plant as heat causes huge drop in Danube River level UK sees hottest day of the year as 38.1C recorded in Kew Gardens Temperatures soar to 38C as amber extreme heat warning in effect,Economics
"Northern Ireland is now in its fourth heatwave of the summer Summer 2026 on course to be UK's hottest on record, says Met Office Disabled in a heatwave: 'We're talking about survival'",Economics
"'We've had a lot of close calls': Canada wildfire evacuees wonder if they still have homes 'That fire came so fast': Wildfire rages in British Columbia. Video, 00:00:35'That fire came so fast': Wildfire rages in British Columbia World's oceans hit record-high July temperatures",Economics
"'Not afraid to stay': The Canadians who want to change how wildfires are fought Wildfire damage could take hundreds of years to recover from, experts say Winemakers prosper but veg farms wilt in the drought",Economics
"Where, why and how the South caught fire this summer? How the UK's extreme heat is shifting the conversation about air-con How cow showers and fans help farmers keep cattle cool",Economics
The nature reserve where 'magical' glow worms thrive What is El NiÃ±o and why could it mean record temperatures? A really simple guide to climate change,Economics
"What is net zero and is the UK on track to achieve it? How climate change worsens heatwaves, droughts, wildfires and floods What is the Paris agreement and why does 1.5C matter?",Economics
"Keep up with the latest climate and environment news with the BBCâs Climate Editor Justin Rowlatt, to your inbox weekly. Do climate protests ever work? Audio, 26 minutesDo climate protests ever work? After record heat, could the Atlantic make Britain's weather even more extreme?",Economics
"UK waters could reach 5C warmer during marine heatwave. Video, 00:00:58UK waters could reach 5C warmer during marine heatwave Why are our heatwaves getting hotter? Video, 00:01:03Why are our heatwaves getting hotter? Next El NiÃ±o could be strongest in decades. Video, 00:01:48Next El NiÃ±o could be strongest in decades",Economics
Copyright Â© 2026 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.,Economics
"'Unprecedented' rain in Japan kills eight people The storm cut power to more than 20,000 households and left 7,000 people stranded at Tokyo's Narita airport. Afghan women tell BBC of beatings and buried dreams five years into Taliban rule",Economics
"US says dozens of countries helped China dodge Trump's tariffs Engine parts smashed Ryanair window that man's head was sucked out of, report says Conditions on US aircraft carrier at sea for more than 250 days raise alarms",Economics
